"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,"controproposta si",23.9,76.1,"Aarberg (BE)",
302,"controproposta si",17.8,82.2,"Bargen (BE)",
303,"controproposta si",20.7,79.3,"Grossaffoltern (BE)",
304,"controproposta si",14.3,85.7,"Kallnach (BE)",
305,"controproposta si",15.1,84.9,"Kappelen (BE)",
306,"controproposta si",22.9,77.1,"Lyss (BE)",
307,"nessun risultato",0,0,"Meikirch (BE)","I resultati di questa comune non sono ancora noti."
309,"controproposta si",17.2,82.8,"Radelfingen (BE)",
310,"controproposta si",19.4,80.6,"Rapperswil (BE)",
311,"controproposta si",24.9,75.1,"Schüpfen (BE)",
312,"controproposta si",17.2,82.8,"Seedorf (BE)",
321,"controproposta si",16.5,83.5,"Aarwangen (BE)",
322,"controproposta si",14.2,85.8,"Auswil (BE)",
323,"controproposta si",18.1,81.9,"Bannwil (BE)",
324,"controproposta si",9.6,90.4,"Bleienbach (BE)",
325,"controproposta si",23.9,76.1,"Busswil bei Melchnau (BE)",
326,"controproposta si",10.8,89.2,"Gondiswil (BE)",
329,"controproposta si",25.7,74.3,"Langenthal (BE)",
331,"controproposta si",18.9,81.1,"Lotzwil (BE)",
332,"controproposta si",15.7,84.3,"Madiswil (BE)",
333,"controproposta si",15.9,84.1,"Melchnau (BE)",
335,"controproposta si",13.3,86.7,"Oeschenbach (BE)",
336,"controproposta si",8.6,91.4,"Reisiswil (BE)",
337,"controproposta si",16.3,83.7,"Roggwil (BE)",
338,"controproposta si",12.1,87.9,"Rohrbach (BE)",
339,"controproposta si",13.4,86.6,"Rohrbachgraben (BE)",
340,"controproposta si",8.8,91.2,"Rütschelen (BE)",
341,"controproposta si",15.2,84.8,"Schwarzhäusern (BE)",
342,"controproposta si",16.2,83.8,"Thunstetten (BE)",
344,"controproposta si",12.3,87.7,"Ursenbach (BE)",
345,"controproposta si",13.1,86.9,"Wynau (BE)",
351,"nessun risultato",0,0,"Berna (BE)","I resultati di questa comune non sono ancora noti."
352,"nessun risultato",0,0,"Bolligen (BE)","I resultati di questa comune non sono ancora noti."
353,"nessun risultato",0,0,"Bremgarten bei Bern (BE)","I resultati di questa comune non sono ancora noti."
354,"nessun risultato",0,0,"Kirchlindach (BE)","I resultati di questa comune non sono ancora noti."
355,"nessun risultato",0,0,"Köniz (BE)","I resultati di questa comune non sono ancora noti."
356,"nessun risultato",0,0,"Muri bei Bern (BE)","I resultati di questa comune non sono ancora noti."
357,"nessun risultato",0,0,"Oberbalm (BE)","I resultati di questa comune non sono ancora noti."
358,"nessun risultato",0,0,"Stettlen (BE)","I resultati di questa comune non sono ancora noti."
359,"nessun risultato",0,0,"Vechigen (BE)","I resultati di questa comune non sono ancora noti."
360,"nessun risultato",0,0,"Wohlen bei Bern (BE)","I resultati di questa comune non sono ancora noti."
361,"nessun risultato",0,0,"Zollikofen (BE)","I resultati di questa comune non sono ancora noti."
362,"nessun risultato",0,0,"Ittigen (BE)","I resultati di questa comune non sono ancora noti."
363,"nessun risultato",0,0,"Ostermundigen (BE)","I resultati di questa comune non sono ancora noti."
371,"controproposta si",45.7,54.3,"Bienne (BE)",
372,"controproposta si",34.3,65.7,"Evilard (BE)",
381,"due no",10.8,89.2,"Arch (BE)",
382,"controproposta si",14.3,85.7,"Büetigen (BE)",
383,"controproposta si",20.6,79.4,"Büren an der Aare (BE)",
385,"controproposta si",17.8,82.2,"Diessbach bei Büren (BE)",
386,"controproposta si",18.8,81.2,"Dotzigen (BE)",
387,"controproposta si",17.1,82.9,"Longeau (BE)",
388,"controproposta si",9.8,90.2,"Leuzigen (BE)",
390,"controproposta si",13.9,86.1,"Meinisberg (BE)",
391,"controproposta si",18.8,81.2,"Oberwil bei Büren (BE)",
392,"controproposta si",19.7,80.3,"Perles (BE)",
393,"controproposta si",10.5,89.5,"Rüti bei Büren (BE)",
394,"controproposta si",9.5,90.5,"Wengi (BE)",
401,"controproposta si",13.4,86.6,"Aefligen (BE)",
402,"controproposta si",14.4,85.6,"Alchenstorf (BE)",
403,"nessun risultato",0,0,"Bäriswil (BE)","I resultati di questa comune non sono ancora noti."
404,"controproposta si",36,64,"Berthoud (BE)",
405,"controproposta si",15.7,84.3,"Ersigen (BE)",
406,"controproposta si",20.5,79.5,"Hasle bei Burgdorf (BE)",
407,"controproposta si",15.8,84.2,"Heimiswil (BE)",
409,"controproposta si",22,78,"Hindelbank (BE)",
410,"controproposta si",7.6,92.4,"Höchstetten (BE)",
411,"controproposta si",21.9,78.1,"Kernenried (BE)",
412,"controproposta si",20.5,79.5,"Kirchberg (BE)",
413,"controproposta si",14.5,85.5,"Koppigen (BE)",
414,"controproposta si",15.2,84.8,"Krauchthal (BE)",
415,"controproposta si",20.7,79.3,"Lyssach (BE)",
418,"controproposta si",19.4,80.6,"Oberburg (BE)",
420,"controproposta si",14,86,"Rüdtligen-Alchenflüh (BE)",
421,"controproposta si",9.4,90.6,"Rumendingen (BE)",
422,"controproposta si",18,82,"Rüti bei Lyssach (BE)",
423,"due no",3.6,96.4,"Willadingen (BE)",
424,"controproposta si",14.9,85.1,"Wynigen (BE)",
431,"controproposta si",21.6,78.4,"Corgémont (BE)",
432,"due no",40,60,"Cormoret (BE)",
433,"controproposta si",22,78,"Cortébert (BE)",
434,"controproposta si",26.3,73.7,"Courtelary (BE)",
435,"controproposta si",23.6,76.4,"La Ferrière (BE)",
437,"controproposta si",21.6,78.4,"Mont-Tramelan (BE)",
438,"controproposta si",24,76,"Orvin (BE)",
441,"controproposta si",23.8,76.2,"Renan (BE)",
442,"controproposta si",27.1,72.9,"Romont (BE)",
443,"controproposta si",27.3,72.7,"Saint-Imier (BE)",
444,"controproposta si",17.5,82.5,"Sonceboz-Sombeval (BE)",
445,"controproposta si",24.9,75.1,"Sonvilier (BE)",
446,"controproposta si",25.2,74.8,"Tramelan (BE)",
448,"controproposta si",39,61,"Villeret (BE)",
449,"controproposta si",35.5,64.5,"Sauge (BE)",
450,"controproposta si",21,79,"Péry-La Heutte (BE)",
491,"controproposta si",15.8,84.2,"Brüttelen (BE)",
492,"controproposta si",27.4,72.6,"Cerlier (BE)",
493,"controproposta si",15.9,84.1,"Finsterhennen (BE)",
494,"controproposta si",20.9,79.1,"Gals (BE)",
495,"controproposta si",21.1,78.9,"Gampelen (BE)",
496,"controproposta si",25.5,74.5,"Anet (BE)",
497,"controproposta si",13.9,86.1,"Lüscherz (BE)",
498,"controproposta si",16,84,"Müntschemier (BE)",
499,"controproposta si",15.3,84.7,"Siselen (BE)",
500,"due no",9.3,90.7,"Treiten (BE)",
501,"controproposta si",33.1,66.9,"Tschugg (BE)",
502,"controproposta si",20.7,79.3,"Vinelz (BE)",
533,"controproposta si",24.5,75.5,"Bätterkinden (BE)",
538,"nessun risultato",0,0,"Fraubrunnen (BE)","I resultati di questa comune non sono ancora noti."
540,"nessun risultato",0,0,"Jegenstorf (BE)","I resultati di questa comune non sono ancora noti."
541,"nessun risultato",0,0,"Iffwil (BE)","I resultati di questa comune non sono ancora noti."
543,"nessun risultato",0,0,"Mattstetten (BE)","I resultati di questa comune non sono ancora noti."
544,"nessun risultato",0,0,"Moosseedorf (BE)","I resultati di questa comune non sono ancora noti."
546,"nessun risultato",0,0,"Münchenbuchsee (BE)","I resultati di questa comune non sono ancora noti."
551,"nessun risultato",0,0,"Urtenen-Schönbühl (BE)","I resultati di questa comune non sono ancora noti."
552,"controproposta si",20.1,79.9,"Utzenstorf (BE)",
553,"nessun risultato",0,0,"Wiggiswil (BE)","I resultati di questa comune non sono ancora noti."
554,"controproposta si",13.9,86.1,"Wiler bei Utzenstorf (BE)",
556,"nessun risultato",0,100,"Zielebach (BE)",
557,"nessun risultato",0,0,"Zuzwil (BE)","I resultati di questa comune non sono ancora noti."
561,"controproposta si",8.8,91.2,"Adelboden (BE)",
562,"controproposta si",14.3,85.7,"Aeschi bei Spiez (BE)",
563,"controproposta si",12.3,87.7,"Frutigen (BE)",
564,"controproposta si",8.8,91.2,"Kandergrund (BE)",
565,"controproposta si",19.2,80.8,"Kandersteg (BE)",
566,"controproposta si",17.5,82.5,"Krattigen (BE)",
567,"controproposta si",12.9,87.1,"Reichenbach im Kandertal (BE)",
571,"controproposta si",21.6,78.4,"Beatenberg (BE)",
572,"controproposta si",18.5,81.5,"Bönigen (BE)",
573,"controproposta si",17,83,"Brienz (BE)",
574,"controproposta si",16.4,83.6,"Brienzwiler (BE)",
575,"controproposta si",10.4,89.6,"Därligen (BE)",
576,"controproposta si",9.1,90.9,"Grindelwald (BE)",
577,"controproposta si",16.2,83.8,"Gsteigwiler (BE)",
578,"due no",12.6,87.4,"Gündlischwand (BE)",
579,"due no",11.1,88.9,"Habkern (BE)",
580,"controproposta si",11.8,88.2,"Hofstetten bei Brienz (BE)",
581,"controproposta si",26.9,73.1,"Interlaken (BE)",
582,"controproposta si",21.9,78.1,"Iseltwald (BE)",
584,"controproposta si",12.1,87.9,"Lauterbrunnen (BE)",
585,"controproposta si",16.9,83.1,"Leissigen (BE)",
