"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
301,23.9,23.9,76.1,"Aarberg (BE)",
302,17.8,17.8,82.2,"Bargen (BE)",
303,20.7,20.7,79.3,"Grossaffoltern (BE)",
304,14.3,14.3,85.7,"Kallnach (BE)",
305,15.1,15.1,84.9,"Kappelen (BE)",
306,22.9,22.9,77.1,"Lyss (BE)",
307,50,0,0,"Meikirch (BE)","I resultati di questa comune non sono ancora noti."
309,17.2,17.2,82.8,"Radelfingen (BE)",
310,19.4,19.4,80.6,"Rapperswil (BE)",
311,24.9,24.9,75.1,"Schüpfen (BE)",
312,17.2,17.2,82.8,"Seedorf (BE)",
321,16.5,16.5,83.5,"Aarwangen (BE)",
322,14.2,14.2,85.8,"Auswil (BE)",
323,18.1,18.1,81.9,"Bannwil (BE)",
324,9.6,9.6,90.4,"Bleienbach (BE)",
325,23.9,23.9,76.1,"Busswil bei Melchnau (BE)",
326,10.8,10.8,89.2,"Gondiswil (BE)",
329,25.7,25.7,74.3,"Langenthal (BE)",
331,18.9,18.9,81.1,"Lotzwil (BE)",
332,15.7,15.7,84.3,"Madiswil (BE)",
333,15.9,15.9,84.1,"Melchnau (BE)",
335,13.3,13.3,86.7,"Oeschenbach (BE)",
336,8.6,8.6,91.4,"Reisiswil (BE)",
337,16.3,16.3,83.7,"Roggwil (BE)",
338,12.1,12.1,87.9,"Rohrbach (BE)",
339,13.4,13.4,86.6,"Rohrbachgraben (BE)",
340,8.8,8.8,91.2,"Rütschelen (BE)",
341,15.2,15.2,84.8,"Schwarzhäusern (BE)",
342,16.2,16.2,83.8,"Thunstetten (BE)",
344,12.3,12.3,87.7,"Ursenbach (BE)",
345,13.1,13.1,86.9,"Wynau (BE)",
351,50,0,0,"Berna (BE)","I resultati di questa comune non sono ancora noti."
352,50,0,0,"Bolligen (BE)","I resultati di questa comune non sono ancora noti."
353,50,0,0,"Bremgarten bei Bern (BE)","I resultati di questa comune non sono ancora noti."
354,50,0,0,"Kirchlindach (BE)","I resultati di questa comune non sono ancora noti."
355,50,0,0,"Köniz (BE)","I resultati di questa comune non sono ancora noti."
356,50,0,0,"Muri bei Bern (BE)","I resultati di questa comune non sono ancora noti."
357,50,0,0,"Oberbalm (BE)","I resultati di questa comune non sono ancora noti."
358,50,0,0,"Stettlen (BE)","I resultati di questa comune non sono ancora noti."
359,50,0,0,"Vechigen (BE)","I resultati di questa comune non sono ancora noti."
360,50,0,0,"Wohlen bei Bern (BE)","I resultati di questa comune non sono ancora noti."
361,50,0,0,"Zollikofen (BE)","I resultati di questa comune non sono ancora noti."
362,50,0,0,"Ittigen (BE)","I resultati di questa comune non sono ancora noti."
363,50,0,0,"Ostermundigen (BE)","I resultati di questa comune non sono ancora noti."
371,45.7,45.7,54.3,"Bienne (BE)",
372,34.3,34.3,65.7,"Evilard (BE)",
381,10.8,10.8,89.2,"Arch (BE)",
382,14.3,14.3,85.7,"Büetigen (BE)",
383,20.6,20.6,79.4,"Büren an der Aare (BE)",
385,17.8,17.8,82.2,"Diessbach bei Büren (BE)",
386,18.8,18.8,81.2,"Dotzigen (BE)",
387,17.1,17.1,82.9,"Longeau (BE)",
388,9.8,9.8,90.2,"Leuzigen (BE)",
390,13.9,13.9,86.1,"Meinisberg (BE)",
391,18.8,18.8,81.2,"Oberwil bei Büren (BE)",
392,19.7,19.7,80.3,"Perles (BE)",
393,10.5,10.5,89.5,"Rüti bei Büren (BE)",
394,9.5,9.5,90.5,"Wengi (BE)",
401,13.4,13.4,86.6,"Aefligen (BE)",
402,14.4,14.4,85.6,"Alchenstorf (BE)",
403,50,0,0,"Bäriswil (BE)","I resultati di questa comune non sono ancora noti."
404,36,36,64,"Berthoud (BE)",
405,15.7,15.7,84.3,"Ersigen (BE)",
406,20.5,20.5,79.5,"Hasle bei Burgdorf (BE)",
407,15.8,15.8,84.2,"Heimiswil (BE)",
409,22,22,78,"Hindelbank (BE)",
410,7.6,7.6,92.4,"Höchstetten (BE)",
411,21.9,21.9,78.1,"Kernenried (BE)",
412,20.5,20.5,79.5,"Kirchberg (BE)",
