"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
301,61.1,61.1,38.9,"Aarberg (BE)","Avec 61,1 pour cent de oui, Aarberg se prononce en faveur de l’initiative solaire. Le contre-projet est rejeté par 53,8 pour cent des électeurs."
302,76.7,76.7,23.3,"Bargen (BE)","76,7 pour cent des citoyens de Bargen (BE) approuvent l’initiative solaire et 70,9 pour cent soutiennent le contre-projet. Lors de la question subsidiaire, l’initiative solaire l’emporte avec 66,2 pour cent des voix."
303,59.7,59.7,40.3,"Grossaffoltern (BE)","59,7 pour cent des citoyens de Grossaffoltern approuvent l’initiative solaire et 94,8 pour cent soutiennent le contre-projet. Lors de la question subsidiaire, l’initiative solaire l’emporte avec 78,7 pour cent des voix."
304,47,47,53,"Kallnach (BE)","Kallnach rejette à la fois l’initiative solaire et le contre-projet, avec respectivement 53 pour cent et 90,4 pour cent des voix."
305,8.8,8.8,91.2,"Kappelen (BE)","52,3 pour cent des citoyens de Kappelen approuvent le contre-projet à l’initiative solaire. Ils rejettent l’initiative des Vert-e-s à 91,2 pour cent."
306,68.6,68.6,31.4,"Lyss (BE)","Lyss accepte à la fois l’initiative solaire et le contre-projet avec respectivement 68,6 pour cent et 82,5 pour cent. Lors de la question subsidiaire, la commune penche en faveur du contre-projet avec 67,3 pour cent des voix."
307,43.3,43.3,56.7,"Meikirch (BE)","Avec 63,4 pour cent de oui, Meikirch se prononce en faveur du contre-projet à l’initiative solaire. L’initiative des Vert-e-s est, elle, rejetée à 56,7 pour cent."
309,72.2,72.2,27.8,"Radelfingen (BE)","Radelfingen accepte à la fois l’initiative solaire et le contre-projet avec respectivement 72,2 pour cent et 71,7 pour cent des voix. Lors de la question subsidiaire, la commune opte pour l’initiative solaire à 70,9 pour cent."
310,24.7,24.7,75.3,"Rapperswil (BE)","Rapperswil (BE) rejette l’initiative solaire à 75,3 pour cent et approuve le contre-projet à 74,3 pour cent."
311,59.2,59.2,40.8,"Schüpfen (BE)","59,2 pour cent des citoyens de Schüpfen approuvent l’initiative solaire. Ils rejettent le contre-projet à 99,4 pour cent."
312,66.9,66.9,33.1,"Seedorf (BE)","Avec 66,9 pour cent de oui, Seedorf (BE) se prononce en faveur de l’initiative solaire. Le contre-projet est rejeté par 75 pour cent des électeurs."
321,51.3,51.3,48.7,"Aarwangen (BE)","Double oui à Aarwangen: la commune se prononce à la fois en faveur de l'initiative solaire (51,3 pour cent) et du contre-projet (55,6 pour cent). Lors de la question subsidiaire, l’initiative solaire l’emporte avec 57,8 pour cent."
322,76.8,76.8,23.2,"Auswil (BE)","Auswil accepte à la fois l’initiative solaire et le contre-projet avec respectivement 76,8 pour cent et 54,8 pour cent des voix. Lors de la question subsidiaire, la commune opte pour l’initiative solaire à 91,1 pour cent."
323,85.3,85.3,14.7,"Bannwil (BE)","Avec 85,3 pour cent de oui, Bannwil se prononce en faveur de l’initiative solaire. Le contre-projet est rejeté par 55,9 pour cent des électeurs."
324,49.9,49.9,50.1,"Bleienbach (BE)","Avec 84,7 pour cent de oui, Bleienbach se prononce en faveur du contre-projet à l’initiative solaire. L’initiative des Vert-e-s est, elle, rejetée à 50,1 pour cent."
325,69,69,31,"Busswil bei Melchnau (BE)","69 pour cent des citoyens de Busswil bei Melchnau approuvent l’initiative solaire. Ils rejettent le contre-projet à 58,2 pour cent."
326,88.1,88.1,11.9,"Gondiswil (BE)","Gondiswil accepte à la fois l’initiative solaire et le contre-projet avec respectivement 88,1 pour cent et 79,5 pour cent des voix. Lors de la question subsidiaire, la commune opte pour l’initiative solaire à 60,2 pour cent."
329,42.3,42.3,57.7,"Langenthal (BE)","53,6 pour cent des citoyens de Langenthal approuvent le contre-projet à l’initiative solaire. Ils rejettent l’initiative des Vert-e-s à 57,7 pour cent."
331,52.5,52.5,47.5,"Lotzwil (BE)","Double oui à Lotzwil: la commune se prononce à la fois en faveur de l'initiative solaire (52,5 pour cent) et du contre-projet (79,6 pour cent). Lors de la question subsidiaire, l’initiative solaire l’emporte avec 72,7 pour cent."
332,88.2,88.2,11.8,"Madiswil (BE)","88,2 pour cent des citoyens de Madiswil approuvent l’initiative solaire. Ils rejettent le contre-projet à 67,3 pour cent."
333,14.2,14.2,85.8,"Melchnau (BE)","Double non à Melchnau : 85,8 pour cent des votants rejettent l’initiative solaire et 82,9 pour cent le contre-projet."
335,54.2,54.2,45.8,"Oeschenbach (BE)","Oeschenbach se prononce en faveur de l’initiative solaire avec 54,2 pour cent de oui et du contre-projet avec 62,3 pour cent. Lors de la question subsidiaire, le contre-projet l’emporte avec 54,1 pour cent des voix."
336,90.3,90.3,9.7,"Reisiswil (BE)","90,3 pour cent des citoyens de Reisiswil approuvent l’initiative solaire. Ils rejettent le contre-projet à 76,6 pour cent."
